"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Chelating bis-carbene rhodium(iii) complexes in transfer hydrogenation of ketones and imines","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b109491b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Solvent-free mechanochemical synthesis of phosphonium salts","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b111515d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Facile syntheses of tridentate ligands for room-temperature luminescence in ruthenium complexes","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b202758e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Catalytic ring hydrogenation of phenol under supercritical carbon dioxide","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b304344d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Carbon monoxide solubility in ionic liquids: determination, prediction and relevance to hydroformylation","","","rsc.org","Royal Society of Chemistry","2004","","10.1039/b401537a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Acidic iridium hydrides: Implications for aerobic and Oppenauer oxidation of alcohols","","","rsc.org","Royal Society of Chemistry","2006","","10.1039/b610857a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","1","1"
"Selective partial hydrogenation of hydroxy aromatic derivatives with palladium nanoparticles supported on hydrophilic carbon","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b717928f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Facile preparation of low cytotoxicity fluorescent carbon nanocrystals by electrooxidation of graphite","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b812420e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Catalytic skeletal reorganization of enynes through electrophilic activation of alkynes: double cleavage of C–C double and triple bonds","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b812466c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Getting the sterics just right: a five-coordinate iridium trisboryl complex that reacts with C–H bonds at room temperature","","","rsc.org","Royal Society of Chemistry","2009","","10.1039/b914736e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Nanocapsules with “invisible” walls","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b918845b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A novel high energy density rechargeable lithium/air battery","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b920012f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","3","0","0","0","3","0"
"Size dependent oxygen buffering capacity of ceria nanocrystals","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b923780a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Highly regio- and enantioselective catalytic asymmetric hydroboration of a-substituted styrenyl derivatives","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0cc01547d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"An electrochemical tandem reaction: one-pot synthesis of homoallylic alcohols from alcohols in aqueous media","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/c0cc01964j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Metal–organic framework nanofibers via electrospinning","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0cc02271c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Isolated Cu2+ ions: active sites for selective catalytic reduction of NO","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0cc04218h","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Reduced graphene oxide as a catalyst for hydrogenation of nitrobenzene at room temperature","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0cc04420b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Ten key issues in modern flow chemistry","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c0cc05060a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Designed copper–amine complex as an efficient template for one-pot synthesis of Cu-SSZ-13 zeolite with excellent activity for selective catalytic reduction of NO  x   by NH3","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1cc12469b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Selective organic functionalization of graphene bulk or graphene edges","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1cc13254g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Determination of concentration and enantiomeric excess of amines and amino alcohols with a chiral nickel(ii) complex","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1cc14660b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Simple and versatile selective synthesis of neutral and cationic copper(i) N-heterocyclic carbene complexes using an electrochemical procedure","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cc30862b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Nickel-catalysed aromatic Finkelstein reaction of aryl and heteroaryl bromides","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cc30956d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Cu–SSZ-39, an active and hydrothermally stable catalyst for the selective catalytic reduction of NOx","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cc33992g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Selective synthesis of secondary amines by Pt nanowire catalyzed reductive amination of aldehydes and ketones with ammonia","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cc34461k","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"?-Selective directed catalytic asymmetric hydroboration of 1,1-disubstituted alkenes","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cc36199j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Facile synthesis of nanoporous carbons with controlled particle sizes by direct carbonization of monodispersed ZIF-8 crystals","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cc38955c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Reusable and highly active supported copper(i)–NHC catalysts for Click chemistry","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cc44371j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Highly enantioselective hydrogenation and transfer hydrogenation of cycloalkyl and heterocyclic ketones catalysed by an iridium complex of a tridentate phosphine-diamine ligand","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cc45545a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Trichloromethyl ketones: asymmetric transfer hydrogenation and subsequent Jocic-type reactions with amines","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cc46070c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Superior catalytic activity of nitrogen-doped graphene cathodes for high energy capacity sodium–air batteries","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cc46606j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Chemo-, regio-, and stereoselective iron-catalysed hydroboration of alkenes and alkynes","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cc46727a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"The liquid phase epitaxy approach for the successful construction of ultra-thin and defect-free ZIF-8 membranes: pure and mixed gas transport study","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3cc47495j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Charge-modulated self-assembly and growth of conjugated polyelectrolyte–polyoxometalate hybrid networks","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3cc47552b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A second-generation ligand for the enantioselective rhodium-catalyzed addition of arylboronic acids to alkenylazaarenes","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cc00340c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Iridium-catalysed borylation of sterically hindered C(sp3)–H bonds: remarkable rate acceleration by a catalytic amount of potassium tert-butoxide","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cc01262c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A lithium anode protection guided highly-stable lithium–sulfur battery","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cc05535g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"A bis-cyclometalated iridium complex as a benchmark sensitizer for efficient visible-to-UV photon upconversion","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cc05718j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Direct asymmetric hydrogenation of a-keto acids by using the highly efficient chiral spiro iridium catalysts","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cc07643e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Carbon quantum dot–NO photoreleaser nanohybrids for two-photon phototherapy of hypoxic tumors","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4cc07827f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Electrochemical flow-reactor for expedient synthesis of copper–N-heterocyclic carbene complexes","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4cc08874c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Electrochemical synthesis of small-sized red fluorescent graphene quantum dots as a bioimaging platform","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4cc09332a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Importance of platinum particle size for complete oxidation of toluene over Pt/ZSM-5 catalysts","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4cc09383f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Efficient synthesis of the Cu-SSZ-39 catalyst for DeNOx applications","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5cc03200h","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"An efficient approach for the construction of trifluoromethylated all-carbon quaternary stereocenters: enantioselective Ni(ii)-catalyzed Michael addition of 2-acetyl azaarene to ß,ß-disubstituted nitroalkenes","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5cc08480f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"In situ Raman spectroscopy of carbon-coated ZnFe2O4 anode material in Li-ion batteries – investigation of SEI growth","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5cc09350c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"The preparation of hierarchical SAPO-34 crystals via post-synthesis fluoride etching","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5cc09498d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","2","0"
"Whole-cell microtiter plate screening assay for terminal hydroxylation of fatty acids by P450s","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc01749e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
"Tin-based composite anodes for potassium-ion batteries","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc03649j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","1","0"
