"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Stanford University"
"Institution_ID","rsc:2472"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Section_Type=Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created","2018-08-22"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018","Jun-2018"
"Controlled growth of immunogold for amplified optical detection of aflatoxin B1","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c4an02281e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Complementing reversed-phase selectivity with porous graphitized carbon to increase the metabolome coverage in an on-line two-dimensional LC-MS setup for metabolomics","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an00206k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"An efficient ratiometric fluorescent probe for tracking dynamic changes in lysosomal pH","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an00683j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"A single-molecule digital enzyme assay using alkaline phosphatase with a cumarin-based fluorogenic substrate","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an00714c","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Characteristic lipid profiles of canine non-Hodgkin's lymphoma from surgical biopsy tissue sections and fine needle aspirate smears by desorption electrospray ionization – mass spectrometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an00825e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Towards high-throughput microfluidic Raman-activated cell sorting","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an01074h","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Single molecule array (Simoa) assay with optimal antibody pairs for cytokine detection in human serum samples","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an01238d","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Analysis of ATP and AMP binding to a DNA aptamer and its imidazole-tethered derivatives by surface plasmon resonance","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2015","0","10.1039/c5an01347j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Isolation and enrichment of circulating biomarkers for cancer screening, detection, and diagnostics","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5an01762a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Emerging techniques in the isolation and characterization of extracellular vesicles and their roles in cancer diagnostics and prognostics","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c5an01775k","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"A sensitivity metric and software to guide the analysis of soft films measured by a quartz crystal microbalance","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c6an00143b","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Raman spectroscopy: an evolving technique for live cell studies","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c6an00152a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Effective isolation of exosomes with polyethylene glycol from cell culture supernatant for in-depth proteome profiling","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c6an00892e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"A DNA array based on clickable lesion-containing hairpin probes for multiplexed detection of base excision repair activities","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c6an01165a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Design of luciferase-displaying protein nanoparticles for use as highly sensitive immunoassay detection probes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c6an01253a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Next generation of labeling reagents for quantitative and multiplexing immunoassays by the use of LA-ICP-MS","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2016","0","10.1039/c6an01878e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","7","0","0","0","0","0","7"
"A biotinylated piperazine-rhodol derivative: a ‘turn-on’ probe for nitroreductase triggered hypoxia imaging","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c6an02107g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"A NASBA on microgel-tethered molecular-beacon microarray for real-time microbial molecular diagnostics","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c6an02192a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Can all bulk-phase reactions be accelerated in microdroplets?","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c6an02225a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Poly(p-phenyleneethynylene)-based tongues discriminate fruit juices","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c6an02387h","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Charge detection mass spectrometry: weighing heavier things","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c7an00277g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Re-configurable, multi-mode contained-electrospray ionization for protein folding and unfolding on the millisecond time scale","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c7an00362e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"An implantable multimodal sensor for oxygen, neurotransmitters, and electrophysiology during spreading depolarization in the deep brain","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c7an00508c","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"An Aptamer Bio-barCode (ABC) assay using SPR, RNase H, and probes with RNA and gold-nanorods for anti-cancer drug screening","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c7an01026e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Histological coherent Raman imaging: a prognostic review","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an01266g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Dynamic characterization of drug resistance and heterogeneity of the gastric cancer cell BGC823 using single-cell Raman spectroscopy","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an01287j","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Recent advances in the use of microfluidic technologies for single cell analysis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an01346a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"A baseline drift detrending technique for fast scan cyclic voltammetry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c7an01465a","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","3","0","0","0","0","0","3"
"Bulk double emulsification for flow cytometric analysis of microfluidic droplets","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2017","0","10.1039/c7an01695f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Chemical clocks, oscillations, and other temporal effects in analytical chemistry: oddity or viable approach?","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an01926b","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Advancements in microfluidic technologies for isolation and early detection of circulating cancer-related biomarkers","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an01965c","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","5","0","0","0","0","0","5"
"Combining asymmetric PCR-based enzymatic amplification with silicon photonic microring resonators for the detection of lncRNAs from low input human RNA samples","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an02045g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","2","0","0","0","0","0","2"
"Tandem trapped ion mobility spectrometry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c7an02054f","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Au nanoparticles on two-dimensional MoS2 nanosheets as a photoanode for efficient photoelectrochemical miRNA detection","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c8an00105g","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","1","0","0","0","0","0","1"
"Development and characterization of a scintillating cell imaging dish for radioluminescence microscopy","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c8an00106e","","","0003-2654","1364-5528","","The Analyst","Journal","10.1039/1364-5528/1876","","","0003-2654","1364-5528","","Total_Item_Requests","6","0","0","0","0","0","6"
