"Report_Name"	"Title Master Report"
"Report_ID"	"TR"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Title_Investigations; Limit_Exceeded; No_License"
"Report_Filters"	""
"Report_Attributes"	"Attributes_To_Show=YOP|Data_Type|Access_Type|Access_Method"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"ISBN"	"Print_ISSN"	"Online_ISSN"	"URI"	"Data_Type"	"Section_Type"	"YOP"	"Access_Type"	"Access_Method"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Principles of Environmental Chemistry"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847557780"	""	"978-1-84755-778-0"	"978-0-85404-371-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis: The Science Behind the Art"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847551573"	""	"978-1-84755-157-3"	"978-0-85404-544-0"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Metal Chelation in Medicine"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623892"	""	"978-1-78262-389-2"	"978-1-78262-064-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Metal Chelation in Medicine"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623892"	""	"978-1-78262-389-2"	"978-1-78262-064-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Metal Chelation in Medicine"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623892"	""	"978-1-78262-389-2"	"978-1-78262-064-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Metal Chelation in Medicine"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623892"	""	"978-1-78262-389-2"	"978-1-78262-064-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Metal Chelation in Medicine"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623892"	""	"978-1-78262-389-2"	"978-1-78262-064-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Metal Chelation in Medicine"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623892"	""	"978-1-78262-389-2"	"978-1-78262-064-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"10"	"0"	"0"	"0"	"0"	"0"	"10"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"10"	"0"	"0"	"0"	"0"	"0"	"10"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"4"	"0"	"0"	"0"	"0"	"0"	"4"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"4"	"0"	"0"	"0"	"0"	"0"	"4"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"4"	"0"	"0"	"0"	"0"	"0"	"4"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"4"	"0"	"0"	"0"	"0"	"0"	"4"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"14"	"0"	"0"	"0"	"0"	"0"	"14"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"14"	"0"	"0"	"0"	"0"	"0"	"14"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Investigations"	"7"	"0"	"0"	"0"	"0"	"0"	"7"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Total_Item_Requests"	"7"	"0"	"0"	"0"	"0"	"0"	"7"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Book"	""	""	"Controlled"	"Regular"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
